"","pid","wt","POP","HH","AGE5U","AGE18U","AGE65O","NFAM","NFAMALONE","POV","RACWHITE","RACBLACK","RACASIAN","RACHSPLAT","POV.FAM","POV.NFAM","POV.NFAMALONE"
"1112","367873d",36,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1113","367971",22,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"1114","368080",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1115","368206a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1116","368206b",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1117","368583",10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1118","368714",9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"1119","369534",74,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1120","370214a",9,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1121","370214b",9,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1122","370720a",34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1123","370720b",36,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1124","370720c",25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1125","370720d",34,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1126","370720e",26,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1127","371268a",11,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1128","371268b",10,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1129","371456",25,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1130","371610a",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1131","371610b",15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1132","372482",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"1133","372485",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1134","372724",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1135","374430a",12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1136","374430b",12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1137","374584a",7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1138","374584b",8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1139","376313",24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"1140","376453a",12,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1141","376453b",13,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1142","376453c",13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1143","376453d",15,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1144","378658",1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"1145","378769a",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1146","378769b",12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1147","378790",17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1148","378836a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1149","378836b",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1150","379198",19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1151","380325",15,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1152","380992a",10,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1153","380992b",12,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1154","381972",12,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"1155","381997a",17,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1156","381997b",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1157","383041",46,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1158","383813a",15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1159","383813b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1160","383813c",10,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1161","383849",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1162","384486",11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1163","386118",19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1164","388873a",68,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1165","388873b",68,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1166","388873c",58,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1167","389507a",65,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1168","389507b",64,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1169","390502",14,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"1170","390615a",15,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1171","390615b",22,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0
"1172","390615c",16,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1173","390615d",15,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1174","390615e",13,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1175","391000",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1176","391053",11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1177","391745",49,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"1178","391763",29,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1179","392068a",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1180","392068b",19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1181","392335a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1182","392335b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1183","392335c",35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1184","392335d",24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1185","392335e",28,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1186","393048",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1187","394502a",10,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1188","394502b",10,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1189","395458a",8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1190","395458b",8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1191","395458c",8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1192","395458d",8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1193","395458e",9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1194","395458f",9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1195","395458g",12,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1196","395810",21,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1197","396639",13,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1198","398986a",8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1199","398986b",9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1200","400201",37,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1201","401968a",15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1202","401968b",15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1203","405265a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1204","405265b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1205","405265c",33,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1206","405333",13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1207","405415",4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"1208","405954a",35,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1209","405954b",30,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1210","406147",16,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"1211","406416a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1212","406416b",19,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1213","408410",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1214","408601",61,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1215","409056a",18,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1216","409056b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1217","409234",11,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"1218","410726",14,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"1219","414072",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1220","416741a",50,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1221","416741b",54,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1222","416741c",53,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1223","417455a",16,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1224","417455b",16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"1225","417770",18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1226","419234a",31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1227","419234b",32,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1228","420344",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1229","420573a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1230","420573b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1231","420949a",16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1232","420949b",22,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1233","421601",28,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"1234","421811a",28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1235","421811b",25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1236","421811c",37,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1237","421858a",8,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1238","421858b",9,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1239","421974a",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1240","421974b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1241","422269",9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1242","422995a",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1243","422995b",15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1244","422995c",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1245","425384a",18,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1246","425384b",15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1247","425757",68,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1248","426038",44,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"1249","426434",14,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1250","427113a",28,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1251","427113b",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1252","427127",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1253","427311a",15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1254","427311b",16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1255","427311c",17,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1256","427311d",23,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1257","428157a",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1258","428157b",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1259","428157c",21,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1260","428157d",17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1261","428255",16,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1262","429311a",9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1263","429311b",9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1264","430243",12,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"1265","431497",15,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1266","432235",28,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1267","432630",5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1268","432793",25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1269","432877",14,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"1270","432881",17,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"1271","432940a",21,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1272","432940b",20,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1273","433024a",12,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1274","433024b",12,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1275","433113a",14,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"1276","433113b",28,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1277","434466",14,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1278","434583a",11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1279","434583b",9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1280","435596a",11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1281","435596b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1282","435596c",13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1283","435596d",23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"1284","435596e",23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"1285","436306",16,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1286","436607",17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1287","437257a",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1288","437257b",15,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1289","437257c",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1290","438527a",9,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1291","438527b",9,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1292","438688",24,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1293","439950a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1294","439950b",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1295","440048a",35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1296","440048b",46,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1297","441547a",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1298","441547b",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1299","442600",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1300","442696a",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1301","442696b",39,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1302","442696c",32,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1303","443246",11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1304","443523",98,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1305","443887a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1306","443887b",16,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1307","443887c",16,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1308","444596a",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1309","444596b",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1310","444596c",16,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1311","446363a",29,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1312","446363b",32,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1313","446363c",32,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1314","446610a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1315","446610b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1316","446610c",15,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1317","446610d",14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1318","446610e",14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1319","447144",12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1320","448095a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1321","448095b",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1322","448241a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1323","448241b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1324","452348",13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1325","452349a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1326","452349b",25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1327","453084a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1328","453084b",14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1329","453884",14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1330","454281",21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1331","454294",21,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"1332","454709",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1333","455684",20,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"1334","455731",13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1335","456045a",53,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1336","456045b",56,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1337","456045c",56,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1338","456045d",57,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1339","456332",16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1340","456434",28,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"1341","456560",21,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"1342","456579a",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1343","456579b",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1344","456579c",9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1345","456579d",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1346","458438",27,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1347","459402a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1348","459402b",25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1349","460293a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1350","460293b",16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1351","460293c",14,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"1352","460905",18,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1353","461941",12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1354","462457",11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1355","463882",4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1356","467060a",25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1357","467060b",30,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1358","467498a",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1359","467498b",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1360","467540a",30,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1361","467540b",26,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1362","468102",9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1363","469287",3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1364","469483",13,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"1365","471208",15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1366","472743",9,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1367","475517a",28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1368","475517b",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1369","476018a",20,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1370","476018b",17,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1371","476061a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1372","476061b",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1373","476061c",24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1374","476061d",24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1375","476168a",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1376","476168b",21,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1377","476394a",13,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
"1378","476394b",6,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
"1379","477057",4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1380","478658a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1381","478658b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1382","479629",10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1383","480193",19,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1384","482866",10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1385","484457a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1386","484457b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1387","484457c",19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1388","484614a",7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1389","484614b",7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1390","484614c",8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1391","484739a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1392","484739b",28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1393","486146",14,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
"1394","487367a",27,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1395","487367b",16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1396","487829a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1397","487829b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1398","487829c",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1399","487910a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1400","487910b",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1401","488568a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1402","488568b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1403","488809a",8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1404","488809b",7,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1405","488835a",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1406","488835b",9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1407","488835c",10,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1408","488835d",10,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1409","489775",20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1410","490018",12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1411","490713a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1412","490713b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1413","490713c",15,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1414","490746",10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1415","492541a",18,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"1416","492541b",15,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1417","493055a",7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1418","493055b",6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1419","493055c",13,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1420","493055d",14,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"1421","493738",26,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"1422","493986",9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1423","494129",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1424","494314a",15,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1425","494314b",10,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"1426","494415",11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1427","495132",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1428","495137",17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1429","495152",13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1430","495583",24,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1431","496386",2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1432","496413a",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1433","496413b",21,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"1434","497158",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1435","497966",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1436","498656",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1437","498943a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1438","498943b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1439","498943c",14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1440","498943d",13,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1441","499419a",25,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1442","499419b",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1443","499616a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1444","499616b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1445","499651",15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1446","500185a",64,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1447","500185b",64,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"1448","500185c",103,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"1449","501107",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1450","502170",22,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"1451","502285",13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1452","502803a",25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1453","502803b",27,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"1454","503302a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1455","503302b",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1456","503302c",18,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1457","503302d",14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"1458","503519",26,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
"1459","504309a",12,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1460","504309b",13,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"1461","504309c",14,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
