"","pid","wt","POP","HH","AGE5U","AGE18U","AGE65O","NFAM","NFAMALONE","POV","RACWHITE","RACBLACK","RACASIAN","RACHSPLAT","POV.FAM","POV.NFAM","POV.NFAMALONE"
"354","122141b",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"355","122141c",17,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"356","122141d",19,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"357","122851a",12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"358","122851b",12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"359","123880a",91,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"360","123880b",97,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0
"361","123880c",95,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"362","125162",25,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"363","125192a",24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"364","125192b",16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"365","125192c",22,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"366","125525",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367","125943a",12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"368","125943b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"369","126033",28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"370","126072a",20,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"371","126072b",17,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"372","126370a",11,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"373","126370b",10,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"374","127207",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"375","127289a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"376","127289b",15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"377","127604",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"378","127907a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"379","127907b",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"380","128097a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"381","128097b",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"382","128097c",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"383","128672",8,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"384","128723a",12,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"385","128723b",11,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"386","128814a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"387","128814b",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"388","129433",19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"389","129700",15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"390","130725",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"391","130742a",23,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"392","130742b",19,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"393","132878a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"394","132878b",20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"395","132903a",23,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"396","132903b",40,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
