"","x"
"1",0.141847587016268
"2",0.0314765887577268
"3",0.0962421609377058
"4",0.181883964104529
"5",0.0283393402877823
"6",0.0990211845485852
"7",0.0211995416707567
"8",-0.00346449314130569
"9",0.0505842179106512
"10",0.110561094765706
"11",-0.116845514916073
"12",0.0960905571380326
"13",0.165625066301029
"14",0.099921319769968
"15",0.135880373069941
"16",-0.325616320922418
"17",0.0118377707606734
"18",0.132326142672462
"19",0.137513047165234
"20",0.0743456357731346
"21",0.221480880086695
"22",0.157391458507352
"23",-0.169997928376536
"24",0.0423732461904795
"25",0.181186734821918
"26",0.119226012632467
"27",-0.00350663018291684
"28",-0.0509579386815551
"29",-0.0597558546390494
"30",-0.128171024587553
"31",-0.0771599535451368
"32",-0.074128507638374
"33",-0.0148153377151521
"34",-0.024633943522207
"35",-0.0971197887367695
"36",-0.153195159766689
"37",-0.114260538929298
"38",0.245338301809967
"39",-0.117505018605811
"40",-0.20342038342678
"41",-0.187065664238652
"42",0.0525866584085665
"43",0.225822562550006
"44",0.0324319367704294
"45",-0.0991007905775578
"46",-0.178778676410804
"47",-0.0531658202654863
"48",-0.0343839061608486
"49",-0.101581325279715
"50",0.171886317887037
"51",-0.118533306420373
"52",-0.0437805150239751
"53",0.0315753457123319
"54",-0.0837663421354784
"55",-0.0472425895149854
"56",-0.14121707125252
"57",0.159649807581202
"58",0.140930469728436
"59",-0.202003391658489
"60",-0.0147973457102234
"61",0.00810483446242784
"62",0.359909178488343
"63",-0.0773961190627445
"64",0.0293715811238155
"65",0.198098646012922
"66",0.015590357727536
"67",0.601367498565144
"68",0.0340781018895541
"69",-0.254235224583744
"70",-0.309458056880896
"71",-0.170566533635603
"72",0.0741562690787675
"73",-0.102374511972299
"74",-0.226884981267734
"75",-0.146533301018218
"76",0.0100374547137643
"77",-0.105592446578968
"78",-0.210893818759938
"79",-0.295370815900746
"80",0.00389127301253597
"81",-0.0217569724832772
"82",-0.10232705110607
"83",-0.0607664004319124
"84",-0.11220327549649
"85",-0.17992333766646
"86",-0.130361378305092
"87",0.23463060027422
"88",0.377382049615644
"89",-0.066423213630806
"90",-0.0738472773306213
"91",0.0413155633448825
"92",-0.136833095068807
"93",-0.0479470423395231
"94",-0.115600326635019
"95",-0.169050614823898
"96",0.8373103297914
"97",0.0627913777640718
"98",0.620479313711031
"99",0.0337732925868238
"100",-0.0919244364925805
"101",0.217821865053505
"102",0.0476473937704606
"103",-0.121745562669839
"104",-0.0427877864462388
"105",-0.0389180801188946
"106",0.468073991738178
"107",0.591285744297223
"108",-0.0203584753842162
"109",-0.0351102496012424
"110",0.00324739852846491
"111",-0.0734163403901
"112",-0.290895104671105
"113",-0.0268849136983091
"114",-0.168517866005685
"115",0.414675387059011
"116",-0.0183189878211179
